gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,FORMAL_CHARGE,CHIRAL_CENTER_COUNT
CACNA2D1,modulator,gabapentin enacarbil,0.21,Voltage-dependent calcium channel subunit alpha-2/delta-1,Ion channel,,True,329.3930000000001,2.7634692416666664,True,2,0,0,2,101.93,7,2,5,1,50,0,1.0
ACKR3,agonist,plerixafor,11.36,Atypical chemokine receptor 3,GPCR,6.85,True,502.782,-0.4335920706666668,False,1,0,0,0,78.66,4,6,8,3,90,0,0.0
PTGS1,inhibitor,lumiracoxib,0.62,Prostaglandin G/H synthase 1,Enzyme,8.15,True,293.721,4.311087882666666,True,2,4,0,0,49.33,4,2,2,2,33,0,0.0
ADRB1,antagonist,levobetaxolol,0.68,Beta-1 adrenergic receptor,GPCR,9.1,True,307.434,2.539234387333333,True,1,1,0,0,50.72,11,2,4,2,51,0,1.0
ADRB2,antagonist,levobetaxolol,0.17,Beta-2 adrenergic receptor,GPCR,7.49,True,307.434,2.539234387333333,True,1,1,0,0,50.72,11,2,4,2,51,0,1.0
ADRA1A,agonist,midodrine,0.24,Alpha-1A adrenergic receptor,GPCR,,True,254.2823,-0.9519464609999999,True,3,1,0,1,93.81,6,3,5,1,36,0,1.0
TBXAS1,inhibitor,ozagrel,9.47,Thromboxane-A synthase,Enzyme,7.96,False,228.251,1.1854363679880655,True,0,0,0,0,55.12,4,1,3,2,29,0,0.0
SSTR2,agonist,pasireotide,4.73,Somatostatin receptor type 2,GPCR,9.0,True,1047.2062,2.6765632471960648,False,4,1,0,0,281.2,17,9,11,8,143,0,7.0
SSTR1,agonist,pasireotide,6.55,Somatostatin receptor type 1,GPCR,8.0,True,1047.2062,2.6765632471960648,False,4,1,0,0,281.2,17,9,11,8,143,0,7.0
CYSLTR2,antagonist,pranlukast,1.01,Cysteinyl leukotriene receptor 2,GPCR,5.44,False,481.512,4.671582699000001,True,6,2,0,1,123.0,9,2,7,5,59,0,0.0
SLC6A2,inhibitor,phenmetrazine,2.55,Sodium-dependent noradrenaline transporter,Transporter,7.2976,True,177.2429,1.7894362886666664,True,2,0,0,0,21.26,1,1,2,2,28,0,2.0
PGR,agonist,megestrol acetate,0.2,Progesterone receptor,Nuclear hormone receptor,,True,384.516,3.723744303,True,2,1,0,1,60.44,2,0,4,4,60,0,6.0
NR3C1,agonist,megestrol acetate,,Glucocorticoid receptor,Nuclear hormone receptor,8.057000407,True,384.516,3.723744303,True,2,1,0,1,60.44,2,0,4,4,60,0,6.0
SQLE,inhibitor,naftifine,75.74,Squalene monooxygenase,Enzyme,,True,287.3981,5.238508130333333,False,1,0,0,0,3.24,5,0,1,3,43,0,0.0
HTR1A,antagonist,dihydroergocristine,0.11,5-hydroxytryptamine receptor 1A,GPCR,9.385102783999999,True,611.743,3.827820328867739,False,4,1,0,1,118.21,5,3,6,8,86,0,7.0
ADRA1A,"agonist,antagonist",dihydroergocristine,0.09,Alpha-1A adrenergic receptor,GPCR,,True,611.743,3.827820328867739,False,4,1,0,1,118.21,5,3,6,8,86,0,7.0
MC2R,agonist,corticotropin,4.06,Adrenocorticotropic hormone receptor,GPCR,,True,4541.0658,,False,2,4,0,0,1843.75,145,60,61,12,630,0,36.0
GPR35,agonist,lodoxamide,3.34,G-protein coupled receptor 35,GPCR,8.79317378997803,True,311.63,0.8279957053333333,True,0,0,0,0,156.59,2,4,5,1,27,0,0.0
SLC18A2,inhibitor,valbenazine,1.67,Synaptic vesicular amine transporter,Transporter,8.52287864685059,True,418.578,3.645750237666666,True,1,3,0,0,74.02,7,1,6,3,68,0,4.0
ADRB2,partial agonist,bopindolol,0.4,Beta-2 adrenergic receptor,GPCR,9.65,False,380.48,4.668419005666666,True,5,1,0,0,63.35,7,2,4,3,56,0,1.0
ADRB1,partial agonist,bopindolol,0.53,Beta-1 adrenergic receptor,GPCR,9.51,False,380.48,4.668419005666666,True,5,1,0,0,63.35,7,2,4,3,56,0,1.0
HSD11B1,antagonist,glycyrrhizic acid,0.62,Corticosteroid 11-beta-dehydrogenase isozyme 1,Enzyme,8.22,True,822.942,3.130205821,False,5,0,4,1,267.04,7,8,13,7,120,0,19.0
OPRM1,agonist,tapentadol,0.22,Mu-type opioid receptor,GPCR,7.0177288055419895,True,221.3385,2.9585336273557528,True,6,5,0,0,23.47,5,1,2,1,39,0,2.0
SLC6A2,inhibitor,tapentadol,0.32,Sodium-dependent noradrenaline transporter,Transporter,6.3187589645385716,True,221.3385,2.9585336273557528,True,6,5,0,0,23.47,5,1,2,1,39,0,2.0
ADRA2A,antagonist,tiapride,0.14,Alpha-2A adrenergic receptor,GPCR,6.108462542000001,False,328.427,0.4624598843333341,True,5,0,0,0,75.71,8,1,5,1,46,0,0.0
DRD3,blocker,tiapride,0.19,D(3) dopamine receptor,GPCR,6.755865573883059,False,328.427,0.4624598843333341,True,5,0,0,0,75.71,8,1,5,1,46,0,0.0
HRH1,antagonist,methdilazine,3.09,Histamine H1 receptor,GPCR,,True,296.43,3.936746242333333,True,1,0,0,0,6.48,2,0,3,4,41,0,1.0
CHRM4,antagonist,procyclidine,1.25,Muscarinic acetylcholine receptor M4,GPCR,8.1549015045166,True,287.4397,3.7881168286666655,True,4,0,0,0,23.47,5,1,2,3,50,0,1.0
CHRM3,antagonist,procyclidine,0.25,Muscarinic acetylcholine receptor M3,GPCR,7.906578540801999,True,287.4397,3.7881168286666655,True,4,0,0,0,23.47,5,1,2,3,50,0,1.0
CHRM2,antagonist,procyclidine,0.85,Muscarinic acetylcholine receptor M2,GPCR,7.6020598411560085,True,287.4397,3.7881168286666655,True,4,0,0,0,23.47,5,1,2,3,50,0,1.0
NR3C1,agonist,mometasone furoate,0.07,Glucocorticoid receptor,Nuclear hormone receptor,,True,521.429,5.055208110333334,False,2,3,0,0,93.81,4,1,6,5,65,0,8.0
DRD1,antagonist,thiothixene,0.15,D(1A) dopamine receptor,GPCR,7.2924299240112305,True,443.625,3.3624241666666657,True,3,2,1,1,43.86,5,0,5,4,59,0,0.0
HTR2A,antagonist,thiothixene,0.25,5-hydroxytryptamine receptor 2A,GPCR,7.3,True,443.625,3.3624241666666657,True,3,2,1,1,43.86,5,0,5,4,59,0,0.0
DRD2,antagonist,thiothixene,0.46,D(2) dopamine receptor,GPCR,9.34678745269775,True,443.625,3.3624241666666657,True,3,2,1,1,43.86,5,0,5,4,59,0,0.0
HRH1,antagonist,thiothixene,0.05,Histamine H1 receptor,GPCR,8.4,True,443.625,3.3624241666666657,True,3,2,1,1,43.86,5,0,5,4,59,0,0.0
HTR2A,antagonist,pipamperone,0.07,5-hydroxytryptamine receptor 2A,GPCR,8.3,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
HRH1,antagonist,pipamperone,0.03,Histamine H1 receptor,GPCR,5.6,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
HTR1B,antagonist,pipamperone,0.06,5-hydroxytryptamine receptor 1B,GPCR,6.2,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
HTR1D,antagonist,pipamperone,0.07,5-hydroxytryptamine receptor 1D,GPCR,6.8,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
ADRA2A,antagonist,pipamperone,0.07,Alpha-2A adrenergic receptor,GPCR,6.06550168991089,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
DRD2,antagonist,pipamperone,0.05,D(2) dopamine receptor,GPCR,6.93971300125122,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
HTR1A,antagonist,pipamperone,0.03,5-hydroxytryptamine receptor 1A,GPCR,5.6,False,375.48800000000006,1.8671278030000005,True,8,0,0,0,66.64,7,1,4,3,57,0,0.0
SLC6A2,inhibitor,viloxazine,1.46,Sodium-dependent noradrenaline transporter,Transporter,6.81,True,237.299,1.4915744426666662,True,1,1,0,0,39.72,5,1,4,2,36,0,1.0
ACE,inhibitor,imidapril,0.2,Angiotensin-converting enzyme,Enzyme,5.0,False,405.4449,-0.23491832682730185,True,0,0,0,0,116.25,9,2,6,2,56,0,3.0
PPARA,agonist,fenofibrate,0.3,Peroxisome proliferator-activated receptor alpha,Nuclear hormone receptor,6.0,True,360.831,5.277762736000001,False,3,11,1,1,52.6,6,0,4,2,46,0,0.0
S100P,antagonist,cromoglicic acid,,Protein S100-P,Unclassified,,True,468.3665,1.4770116999999996,False,1,0,0,0,173.71,8,3,9,4,50,0,0.0
SLC6A3,inhibitor,dexmethylphenidate,3.46,Sodium-dependent dopamine transporter,Transporter,7.8,True,233.3062,2.254935081666666,True,3,1,0,0,38.33,3,1,3,2,36,0,2.0
SLC6A2,inhibitor,dexmethylphenidate,2.91,Sodium-dependent noradrenaline transporter,Transporter,,True,233.3062,2.254935081666666,True,3,1,0,0,38.33,3,1,3,2,36,0,2.0
CHRM1,antagonist,pirenzepine,0.32,Muscarinic acetylcholine receptor M1,GPCR,7.68,True,351.4023,0.8524512625648508,True,1,0,0,0,68.78,2,1,5,4,47,0,0.0
CHRM5,antagonist,pirenzepine,0.08,Muscarinic acetylcholine receptor M5,GPCR,6.55,True,351.4023,0.8524512625648508,True,1,0,0,0,68.78,2,1,5,4,47,0,0.0
CHRM3,antagonist,pirenzepine,0.05,Muscarinic acetylcholine receptor M3,GPCR,6.61,True,351.4023,0.8524512625648508,True,1,0,0,0,68.78,2,1,5,4,47,0,0.0
CHRM4,antagonist,pirenzepine,0.09,Muscarinic acetylcholine receptor M4,GPCR,7.12,True,351.4023,0.8524512625648508,True,1,0,0,0,68.78,2,1,5,4,47,0,0.0
CHRM2,antagonist,pirenzepine,0.06,Muscarinic acetylcholine receptor M2,GPCR,6.76,True,351.4023,0.8524512625648508,True,1,0,0,0,68.78,2,1,5,4,47,0,0.0
P2RY13,antagonist,cangrelor,7.1,P2Y purinoceptor 13,GPCR,8.3,True,776.35,-0.12444800635445567,False,1,0,0,0,255.91,15,7,15,3,69,0,6.0
SLC5A2,inhibitor,canagliflozin,5.05,Sodium/glucose cotransporter 2,Transporter,8.657577499999999,True,444.516,3.5206550853333343,True,1,3,1,3,90.15,5,4,6,4,56,0,5.0
SLC5A1,inhibitor,canagliflozin,2.91,Sodium/glucose cotransporter 1,Transporter,5.72,True,444.516,3.5206550853333343,True,1,3,1,3,90.15,5,4,6,4,56,0,5.0
,modulator,edetic acid,,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Unclassified,4.13,True,292.2426,-4.924670289588847,True,3,3,0,0,155.68,11,4,6,0,36,0,0.0
NR3C1,agonist,fluorometholone,1.36,Glucocorticoid receptor,Nuclear hormone receptor,8.801342913,True,376.4617,2.4208639956666667,True,1,2,1,0,74.6,1,2,4,4,56,0,8.0
OPRM1,agonist,dextropropoxyphene,0.78,Mu-type opioid receptor,GPCR,,True,339.4712,4.902155232666666,True,4,2,0,0,29.54,8,0,3,2,54,0,2.0
PTGS2,inhibitor,valdecoxib,1.73,Prostaglandin G/H synthase 2,Enzyme,8.3,True,314.3590000000001,2.8236843580000004,True,3,3,0,0,86.19,3,1,4,3,36,0,0.0
CA2,inhibitor,valdecoxib,0.38,Carbonic anhydrase,Unclassified,5.24,True,314.3590000000001,2.8236843580000004,True,3,3,0,0,86.19,3,1,4,3,36,0,0.0
CA3,inhibitor,valdecoxib,2.03,Carbonic anhydrase 3,Enzyme,4.11,True,314.3590000000001,2.8236843580000004,True,3,3,0,0,86.19,3,1,4,3,36,0,0.0
CHRM1,antagonist,biperiden,0.64,Muscarinic acetylcholine receptor M1,GPCR,9.32,True,311.4611,3.5365074619999994,True,1,1,0,0,23.47,5,1,2,4,52,0,4.0
CHRM2,antagonist,biperiden,0.07,Muscarinic acetylcholine receptor M2,GPCR,8.2,True,311.4611,3.5365074619999994,True,1,1,0,0,23.47,5,1,2,4,52,0,4.0
CHRM5,antagonist,biperiden,0.1,Muscarinic acetylcholine receptor M5,GPCR,8.20065975189209,True,311.4611,3.5365074619999994,True,1,1,0,0,23.47,5,1,2,4,52,0,4.0
CHRM4,antagonist,biperiden,0.1,Muscarinic acetylcholine receptor M4,GPCR,8.62,True,311.4611,3.5365074619999994,True,1,1,0,0,23.47,5,1,2,4,52,0,4.0
CHRM3,antagonist,biperiden,0.06,Muscarinic acetylcholine receptor M3,GPCR,8.41,True,311.4611,3.5365074619999994,True,1,1,0,0,23.47,5,1,2,4,52,0,4.0
ESR1,agonist,estradiol cypionate,0.11,Estrogen receptor,Nuclear hormone receptor,,True,396.5622,6.488730439333335,False,10,10,3,14,46.53,4,1,3,5,65,0,5.0
MAOA,inhibitor,linezolid,0.17,Amine oxidase [flavin-containing] A,Enzyme,5.1,True,337.3461,0.6366636523333332,True,1,2,0,0,71.11,4,1,5,3,44,0,1.0
MAOB,inhibitor,linezolid,0.12,Amine oxidase [flavin-containing] B,Enzyme,4.5,True,337.3461,0.6366636523333332,True,1,2,0,0,71.11,4,1,5,3,44,0,1.0
ESR1,agonist,dienestrol,0.37,Estrogen receptor,Nuclear hormone receptor,4.88,True,266.34,4.8319610913333335,True,2,0,0,0,40.46,3,2,2,2,38,0,0.0
GLP1R,agonist,semaglutide,2.24,Glucagon-like peptide 1 receptor,GPCR,9.420216403,True,4113.641,-17.292170184168903,False,1,4,1,0,1646.18,184,57,56,6,582,0,30.0
SLC22A12,inhibitor,lesinurad,9.47,Solute carrier family 22 member 12,Transporter,5.136677265167241,True,404.28,4.089902325,True,2,2,0,0,68.01,5,1,5,4,38,0,0.0
SLC22A11,inhibitor,lesinurad,2.71,Solute carrier family 22 member 11,Transporter,5.43179845809937,True,404.28,4.089902325,True,2,2,0,0,68.01,5,1,5,4,38,0,0.0
CYP19A1,inhibitor,aminoglutethimide,3.04,Aromatase,Enzyme,5.11,True,232.2783,1.2995443679999998,True,2,2,0,0,72.19,2,2,3,2,33,0,1.0
ADRB2,agonist,procaterol,1.91,Beta-2 adrenergic receptor,GPCR,8.43,True,290.3575,0.8841294780789967,True,1,0,0,0,85.35,5,4,4,2,43,0,2.0
F10,antagonist,rivaroxaban,3.44,Coagulation factor X,Enzyme,9.4,True,435.881,1.8976447186666672,True,1,3,0,2,88.18,5,1,6,4,47,0,1.0
HTR3A,antagonist,ondansetron,1.25,5-hydroxytryptamine receptor 3A,Ion channel,7.8,True,293.363,2.3499651703333324,True,5,7,0,0,39.82,2,0,4,4,41,0,1.0
AR,agonist,oxymetholone,0.03,Androgen receptor,Nuclear hormone receptor,,True,332.4840000000001,3.5527294793333324,True,2,7,2,0,57.53,1,2,3,4,56,0,7.0
VKORC1,inhibitor,dicoumarol,6.46,Vitamin K epoxide reductase complex subunit 1,Enzyme,5.5086383819580105,True,336.295,-1.5927893718444857,True,3,3,1,0,100.88,2,2,6,4,37,0,0.0
ATP1A2,inhibitor,digitoxin,0.53,Sodium/potassium-transporting ATPase subunit alpha-2,Ion channel,6.647817482000001,True,764.9391,3.5974917390000014,False,1,2,1,3,182.83,7,5,13,8,118,0,20.0
CHRM3,agonist,methacholine,1.02,Muscarinic acetylcholine receptor M3,GPCR,,True,160.234,-3.8045687278050786,True,1,0,0,0,26.3,3,0,2,0,29,1,1.0
CHRM2,antagonist,dimetindene,0.47,Muscarinic acetylcholine receptor M2,GPCR,7.35,True,292.418,3.7387046103333343,True,2,0,0,0,16.13,5,0,2,3,46,0,1.0
HRH1,antagonist,dimetindene,0.62,Histamine H1 receptor,GPCR,9.16,True,292.418,3.7387046103333343,True,2,0,0,0,16.13,5,0,2,3,46,0,1.0
,negative modulator,epirubicin,,DNA,DNA,,True,543.5193,0.916421641538582,False,2,2,0,1,206.07,5,6,12,5,68,0,6.0
GHRHR,agonist,sermorelin,99.41,Growth hormone-releasing hormone receptor,GPCR,,True,3357.882,,False,1,0,0,0,1454.4,115,49,47,3,482,0,31.0
BCL2L1,antagonist,venetoclax,0.38,Bcl-2-like protein 1,Cytosolic other,7.3187589645385716,True,868.45,6.762158637639526,False,1,1,0,3,172.03,13,3,11,8,111,0,0.0
BCL2,antagonist,venetoclax,1.16,Apoptosis regulator Bcl-2,Cytosolic other,11.0,True,868.45,6.762158637639526,False,1,1,0,3,172.03,13,3,11,8,111,0,0.0
BCL2L2,antagonist,venetoclax,0.63,Apoptosis regulator Bcl-W,Cytosolic other,6.610834121704099,True,868.45,6.762158637639526,False,1,1,0,3,172.03,13,3,11,8,111,0,0.0
AGTR1,antagonist,eprosartan,17.82,Type-1 angiotensin II receptor,GPCR,8.7,True,424.513,3.7972303935904312,True,1,0,0,1,92.42,10,2,5,3,54,0,0.0
ABCA1,inhibitor,probucol,23.67,ATP-binding cassette sub-family A member 1,Transporter,,True,516.842,10.569524170333334,False,2,0,0,0,40.46,4,2,4,2,83,0,0.0
TPO,inhibitor,carbimazole,16.23,Thyroid peroxidase,Enzyme,,True,186.232,1.3485111993333334,True,1,1,0,0,36.16,1,0,5,1,22,0,0.0
RAC1,modulator,azathioprine,0.44,Ras-related C3 botulinum toxin substrate 1,Unclassified,,True,277.263,1.173143957666667,True,1,12,1,4,115.42,3,1,8,3,26,0,0.0
IKBKE,inhibitor,amlexanox,0.24,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,Kinase,6.0,True,298.2934,3.654548958,True,4,0,0,0,106.42,2,2,5,3,36,0,0.0
TBK1,inhibitor,amlexanox,0.32,Serine/threonine-protein kinase TBK1,Kinase,6.0,True,298.2934,3.654548958,True,4,0,0,0,106.42,2,2,5,3,36,0,0.0
DRD2,antagonist,etoperidone,0.09,D(2) dopamine receptor,GPCR,5.6382722854614284,False,377.92,3.3657262419999987,True,6,0,0,3,46.3,7,0,6,3,54,0,0.0
OPRM1,agonist,methadone,0.13,Mu-type opioid receptor,GPCR,8.78,True,309.4452,5.007171635333333,False,8,10,2,1,20.31,7,0,2,2,50,0,1.0
KCNH2,inhibitor,halofantrine,0.61,Potassium voltage-gated channel subfamily H member 2,Ion channel,5.12,True,500.424,8.056956757,False,3,4,0,0,23.47,10,1,2,3,63,0,1.0
HCAR2,agonist,acipimox,7.1,Hydroxycarboxylic acid receptor 2,GPCR,5.6,True,154.125,-2.521175933019461,True,0,0,0,0,77.13,1,1,3,1,17,0,0.0
SQLE,inhibitor,terbinafine,21.3,Squalene monooxygenase,Enzyme,7.52,True,291.4299,5.527483033666665,False,2,7,2,1,3.24,4,0,1,2,47,0,0.0
OPRM1,agonist,fentanyl,0.18,Mu-type opioid receptor,GPCR,9.0014,True,336.4705,3.8154985483333332,True,4,2,2,1,23.55,6,0,2,3,53,0,0.0
OPRK1,agonist,fentanyl,0.06,Kappa-type opioid receptor,GPCR,6.71,True,336.4705,3.8154985483333332,True,4,2,2,1,23.55,6,0,2,3,53,0,0.0
SLC12A3,inhibitor,hydroflumethiazide,0.29,Solute carrier family 12 member 3,Transporter,7.37,True,331.292,-0.301813971,True,9,0,1,2,118.36,1,3,5,2,28,0,0.0
HRH1,antagonist,bilastine,0.62,Histamine H1 receptor,GPCR,7.1938199996948216,True,463.622,2.409230745583987,True,1,0,0,3,67.59,10,1,5,4,71,0,0.0
ABL1,antagonist,radotinib,1.51,Tyrosine-protein kinase ABL1,Kinase,7.514278411865232,False,530.515,4.529717749666665,False,1,0,0,0,110.51,6,2,8,5,60,0,0.0
MAOA,inhibitor,pargyline,4.23,Amine oxidase [flavin-containing] A,Enzyme,5.47,True,159.2276,2.142725628999999,True,2,0,0,0,3.24,3,0,1,1,25,0,0.0
MAOB,inhibitor,pargyline,7.52,Amine oxidase [flavin-containing] B,Enzyme,5.74,True,159.2276,2.142725628999999,True,2,0,0,0,3.24,3,0,1,1,25,0,0.0
SSTR4,agonist,somatostatin,4.26,Somatostatin receptor type 4,GPCR,9.23,True,1637.9,-8.234491845035745,False,5,1,0,1,613.23,26,22,23,6,219,0,15.0
SSTR2,agonist,somatostatin,1.89,Somatostatin receptor type 2,GPCR,10.46,True,1637.9,-8.234491845035745,False,5,1,0,1,613.23,26,22,23,6,219,0,15.0
SSTR1,agonist,somatostatin,2.62,Somatostatin receptor type 1,GPCR,9.54,True,1637.9,-8.234491845035745,False,5,1,0,1,613.23,26,22,23,6,219,0,15.0
SSTR3,agonist,somatostatin,4.37,Somatostatin receptor type 3,GPCR,10.0,True,1637.9,-8.234491845035745,False,5,1,0,1,613.23,26,22,23,6,219,0,15.0
SSTR5,agonist,somatostatin,2.27,Somatostatin receptor type 5,GPCR,9.85,True,1637.9,-8.234491845035745,False,5,1,0,1,613.23,26,22,23,6,219,0,15.0
SLC6A4,inhibitor,mazindol,0.21,Sodium-dependent serotonin transporter,Transporter,7.3,True,284.74,3.4352790006666662,True,4,0,0,0,35.83,1,1,3,4,33,0,1.0
SLC6A2,inhibitor,mazindol,0.97,Sodium-dependent noradrenaline transporter,Transporter,9.3,True,284.74,3.4352790006666662,True,4,0,0,0,35.83,1,1,3,4,33,0,1.0
SLC6A3,inhibitor,mazindol,1.27,Sodium-dependent dopamine transporter,Transporter,8.0,True,284.74,3.4352790006666662,True,4,0,0,0,35.83,1,1,3,4,33,0,1.0
CTSA,inhibitor,telaprevir,3.55,Lysosomal protective protein,Enzyme,7.0,True,679.8493,2.580292300333334,False,3,1,2,1,179.56,13,4,8,5,102,0,6.0
CELA1,inhibitor,telaprevir,1.42,Chymotrypsin-like elastase family member 1,Enzyme,7.52,True,679.8493,2.580292300333334,False,3,1,2,1,179.56,13,4,8,5,102,0,6.0
PDE11A,inhibitor,tadalafil,56.81,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Enzyme,7.48,True,389.404,1.6393403350000002,True,2,2,0,0,74.87,1,1,4,6,48,0,2.0
PDE5A,inhibitor,tadalafil,6.84,"cGMP-specific 3',5'-cyclic phosphodiesterase",Enzyme,8.0,True,389.404,1.6393403350000002,True,2,2,0,0,74.87,1,1,4,6,48,0,2.0
PDE3A,inhibitor,enoximone,3.98,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Enzyme,5.3449,True,248.301,1.844280216,True,1,0,0,0,65.72,3,2,3,2,29,0,0.0
TACR1,antagonist,netupitant,2.91,Substance-P receptor,GPCR,9.022275924682619,True,578.6030000000002,7.256654907333332,False,1,4,0,1,39.68,5,0,4,4,73,0,0.0
DRD2,antagonist,bromopride,0.55,D(2) dopamine receptor,GPCR,7.85,False,344.247,1.5619780133333332,True,1,0,0,0,67.59,7,2,4,1,42,0,0.0
HRH1,antagonist,acrivastine,0.93,Histamine H1 receptor,GPCR,7.16,True,348.4382,1.710666395404386,True,1,0,0,0,53.43,6,1,3,3,50,0,0.0
P2RY1,antagonist,suramin,0.28,P2Y purinoceptor 1,GPCR,5.3,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
P2RY13,antagonist,suramin,0.36,P2Y purinoceptor 13,GPCR,5.6,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
P2RY2,antagonist,suramin,1.1,P2Y purinoceptor 2,GPCR,4.3,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
P2RY11,antagonist,suramin,0.24,P2Y purinoceptor 11,GPCR,6.0,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
P2RX3,antagonist,suramin,0.28,P2X purinoceptor 3,Ion channel,5.962573502000001,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
P2RY6,antagonist,suramin,0.71,P2Y purinoceptor 6,GPCR,4.0,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
SIRT5,inhibitor,suramin,0.89,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",Enzyme,4.85,False,1297.28,5.577430975666668,False,7,2,0,0,483.75,16,12,17,8,126,0,0.0
ADRB2,agonist,isoprenaline,0.21,Beta-2 adrenergic receptor,GPCR,6.87,True,211.2576,0.2402056821478119,True,9,1,0,0,72.72,4,4,4,1,32,0,1.0
ADRB1,agonist,isoprenaline,0.16,Beta-1 adrenergic receptor,GPCR,9.0,True,211.2576,0.2402056821478119,True,9,1,0,0,72.72,4,4,4,1,32,0,1.0
ADRB3,agonist,isoprenaline,0.13,Beta-3 adrenergic receptor,GPCR,8.5,True,211.2576,0.2402056821478119,True,9,1,0,0,72.72,4,4,4,1,32,0,1.0
DPP4,inhibitor,linagliptin,2.45,Dipeptidyl peptidase 4,Enzyme,10.0,True,472.5422,2.8026328140000007,True,1,1,0,4,116.86,4,1,10,5,63,0,1.0
GNRHR,agonist,goserelin,0.64,Gonadotropin-releasing hormone receptor,GPCR,,True,1269.4105,-5.17557331843203,False,2,0,0,0,495.89,31,17,16,6,175,0,9.0
P4HA1,cofactor,ascorbic acid,,Prolyl 4-hydroxylase subunit alpha-1,Enzyme,,True,176.1241,-1.9135588756666668,True,24,1,1,5,107.22,2,4,6,1,20,0,2.0
PLOD1,cofactor,ascorbic acid,,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Enzyme,,True,176.1241,-1.9135588756666668,True,24,1,1,5,107.22,2,4,6,1,20,0,2.0
PAH,cofactor,sapropterin,12.78,Phenylalanine-4-hydroxylase,Enzyme,5.4,True,241.2471,-2.3211264380000003,False,4,1,0,0,136.29,2,6,7,2,32,0,3.0
DHODH,inhibitor,atovaquone,9.04,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Enzyme,5.03,True,366.837,4.997646357666667,True,3,2,0,1,54.37,2,1,3,4,45,0,2.0
TRPM8,inducer,levomenthol,6.99,Transient receptor potential cation channel subfamily M member 8,Ion channel,4.6,True,156.2652,2.6642731470000007,True,5,1,0,0,20.23,1,1,1,1,31,0,3.0
TRPA1,inducer,levomenthol,1.67,Transient receptor potential cation channel subfamily A member 1,Ion channel,4.5,True,156.2652,2.6642731470000007,True,5,1,0,0,20.23,1,1,1,1,31,0,3.0
PTGER4,agonist,misoprostol,3.31,Prostaglandin E2 receptor EP4 subtype,GPCR,7.6,True,382.5341,3.857755057999998,True,4,0,0,0,83.83,13,2,5,1,65,0,4.0
PTGER2,agonist,misoprostol,3.34,Prostaglandin E2 receptor EP2 subtype,GPCR,7.5,True,382.5341,3.857755057999998,True,4,0,0,0,83.83,13,2,5,1,65,0,4.0
MPL,agonist,lusutrombopag,5.16,Thrombopoietin receptor,Membrane receptor,7.0757207139,True,591.54,8.555446220666669,False,1,1,0,2,97.75,13,2,6,3,71,0,1.0
ADRB2,antagonist,bisoprolol,0.69,Beta-2 adrenergic receptor,GPCR,5.94,True,325.443,2.19640338,True,2,1,0,1,59.95,12,2,5,1,54,0,1.0
CACNA1D,inhibitor,nilvadipine,0.48,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,,True,385.3707,2.2390465833333333,True,6,5,0,0,131.56,5,1,8,2,47,0,1.0
CACNA1C,inhibitor,nilvadipine,0.42,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,,True,385.3707,2.2390465833333333,True,6,5,0,0,131.56,5,1,8,2,47,0,1.0
PTGS2,antagonist,alclofenac,0.46,Prostaglandin G/H synthase 2,Enzyme,,True,226.66,2.788617339333333,True,1,0,0,0,46.53,5,1,2,1,26,0,0.0
